epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.56178,0.83498,3.54906,1.14873,0.81893,0.42857,0.41851,0.35518,0.57953,2.47885,0.9566,8.335e-05,8.335e-05,8.335e-05
2,3.97001,0.67469,2.06268,1.02426,0.70377,0.62976,0.6932,0.60421,0.58942,2.1798,0.97094,0.000180344,0.000180344,0.000180344
3,5.34847,0.67164,1.49471,0.98991,0.81757,0.94725,0.93919,0.77511,0.63467,1.53033,0.93662,0.000274038,0.000274038,0.000274038
4,6.75866,0.76717,1.0711,0.96669,0.84517,0.812,0.8754,0.70614,0.7864,1.34999,1.03095,0.000364431,0.000364431,0.000364431
5,8.0263,0.69018,1.02787,0.93033,0.9263,0.92506,0.92948,0.7847,0.63315,1.21668,0.9875,0.000451524,0.000451524,0.000451524
6,9.33633,0.63873,0.94488,0.93646,0.93882,0.91868,0.92935,0.80837,0.59036,1.20033,0.97137,0.000535315,0.000535315,0.000535315
7,10.6594,0.636,0.85261,0.90979,0.92705,0.89027,0.91944,0.79674,0.61766,1.16134,0.95539,0.000615806,0.000615806,0.000615806
8,11.9139,0.66671,0.89353,0.90171,0.84901,0.89011,0.90303,0.78416,0.62124,1.19885,0.94164,0.000692997,0.000692997,0.000692997
9,13.1537,0.64545,0.8332,0.91862,0.71063,0.78035,0.83585,0.72289,0.62635,1.24247,0.94654,0.000766887,0.000766887,0.000766887
